id,channel_id,duration(sec),domain
7UUy1ZT0FQ4,UCMi9xvkPHY2Y37Fdwdk0OLA,350,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
dRtINF3Ff8E,UCOqU-HfQxoyImaCW2tCDxJA,870,"news debates,news panel discussions,news roundtables,news talk shows"
d6owZSMQoig,UC_E7W_Thy7iN3PMZ0UBkLkQ,60,vlogs
d7qLCNP9aJI,UCOqU-HfQxoyImaCW2tCDxJA,3420,"news debates,news panel discussions,news roundtables,news talk shows"
81Kuvl1JziI,UCOqU-HfQxoyImaCW2tCDxJA,1645,"news debates,news panel discussions,news roundtables,news talk shows"
dUZRUldvGaY,UCOqU-HfQxoyImaCW2tCDxJA,1260,"news debates,news panel discussions,news roundtables,news talk shows"
9-wFtuuLVp4,UCOqU-HfQxoyImaCW2tCDxJA,900,"news debates,news panel discussions,news roundtables,news talk shows"
tOJA2XfHaJg,UCOqU-HfQxoyImaCW2tCDxJA,1485,"news debates,news panel discussions,news roundtables,news talk shows"
C8QvBr9KIxk,UCOqU-HfQxoyImaCW2tCDxJA,1805,"news debates,news panel discussions,news roundtables,news talk shows"
dYArz0MlJEM,UCOqU-HfQxoyImaCW2tCDxJA,880,"news debates,news panel discussions,news roundtables,news talk shows"
dYUh_jVOiXM,UCOqU-HfQxoyImaCW2tCDxJA,796,"news debates,news panel discussions,news roundtables,news talk shows"
CmzT8U-0CEI,UCOqU-HfQxoyImaCW2tCDxJA,845,"news debates,news panel discussions,news roundtables,news talk shows"
8lU0pbQb8ZM,UC-upbfbj9RXHsjz4rTUTcSg,1017,vlogs
B8B2XMCtY7U,UCOqU-HfQxoyImaCW2tCDxJA,760,"news debates,news panel discussions,news roundtables,news talk shows"
BA5i6P2a-3Q,UCOqU-HfQxoyImaCW2tCDxJA,870,"news debates,news panel discussions,news roundtables,news talk shows"
BEx_UllhUmk,UCMCQsRtK35oihJpioJvWqsg,264,cooking
BOVvWImOBbw,UCOqU-HfQxoyImaCW2tCDxJA,970,"news debates,news panel discussions,news roundtables,news talk shows"
7AmU627mBcw,UCOqU-HfQxoyImaCW2tCDxJA,1650,"news debates,news panel discussions,news roundtables,news talk shows"
c40_bNpR-w4,UCOqU-HfQxoyImaCW2tCDxJA,925,"news debates,news panel discussions,news roundtables,news talk shows"
dYMQjZGmcok,UCOqU-HfQxoyImaCW2tCDxJA,860,"news debates,news panel discussions,news roundtables,news talk shows"
CUOtYD7P124,UCOqU-HfQxoyImaCW2tCDxJA,880,"news debates,news panel discussions,news roundtables,news talk shows"
yGvvcs42yjw,UCOqU-HfQxoyImaCW2tCDxJA,3575,"news debates,news panel discussions,news roundtables,news talk shows"
CVuQD_gyF8Q,UCOqU-HfQxoyImaCW2tCDxJA,834,"news debates,news panel discussions,news roundtables,news talk shows"
2SVAiYEVCH8,UCOqU-HfQxoyImaCW2tCDxJA,210,"news debates,news panel discussions,news roundtables,news talk shows"
Clvt6RET9dA,UCOqU-HfQxoyImaCW2tCDxJA,1830,"news debates,news panel discussions,news roundtables,news talk shows"
C_xvz7CD5vo,UCOqU-HfQxoyImaCW2tCDxJA,1090,"news debates,news panel discussions,news roundtables,news talk shows"
dS263ULdNfM,UCQroRFb1JnNLmma4PEEFJgw,312,cooking
HSoAYVynJnM,UCMi9xvkPHY2Y37Fdwdk0OLA,552,"entertainment debates,entertainment panel discussions,entertainment roundtables,entertainment talk shows"
d75WsLsHRAE,UCOqU-HfQxoyImaCW2tCDxJA,715,"news debates,news panel discussions,news roundtables,news talk shows"
